VO2_ins_wl_n;VO2_ins_n;VO2_ins_wl_k;VO2_ins_k;VO2_met_wl_n;VO2_met_n;VO2_met_wl_k;VO2_met_k;vo2IR_ins_wl_n;vo2IR_ins_n;vo2IR_met_wl_n;vo2IR_met_n;vo2IR_met_wl_k;vo2IR_met_k;vo2IR_ins_wl_k;vo2IR_ins_k;Ag_wl_n;Ag_n;Ag_wl_k;Ag_k;Au9nm_wl_n;Au9nm_n;Au9nm_wl_k;Au9nm_k;SiO2_thin_wl_n;SiO2_thin_n;SiO2_thin_wl_k;SiO2_thin_k;SiO2_fused_wl_n;SiO2_fused_n;SiO2_fused_wl_k;SiO2_fused_k;SiO2_wl_n;SiO2_n;TiO2_alpha_wl_n;TiO2_alpha_n;TiO2_A_wl_n;TiO2_A_n;TiO2_alpha_wl_k;TiO2_alpha_k;TiO2_A_wl_k;TiO2_A_k;Cr2O3_wl_n;Cr2O3_n;Cr2O3_wl_k;Cr2O3_k;Si3N4_wl_n;Si3N4_n;Si3N4_wl_k;Si3N4_k;CeO2_wl_n;CeO2_n;CeO2_wl_k;CeO2_k;PET_wl_n;PET_n;PET_wl_k;PET_k;Eye_wl;Eye_sensitivity
267,297;2,261;278,336;0,995;266,749;2,173;270,322;0,88;298,59;1,528;304,88;1,5227;293,9;0,80278;300,61;0,01;190,77;1,017;190,77;1,1;300;1,566;300;1,627;250;1,517462;250;0,00026;210;1,53835762;7000;0,00014657;301,572;1,441;120,181141;1,126620101;301,097;2,734;120,181141;0,898838687;300,745;0,663;308;2,33;304;0,453;310;2,175939468;310;0;256,7;2,229;264;0,9434;400;1,61027;400;0,00000231;390;0,0001
280,39;2,295;332,648;1,041;282,386;2,185;288,419;0,917;313,04;1,5822;321,08;1,545;303,48;0,9762;310,93;0,01;191,36;1,02;191,36;1,104;310;1,448;310;1,714;255;1,515228;255;0,00024;217,4;1,530846431;7030,4;0,00019034;304,18;1,444;120,874955;1,124382098;303,943;2,738;120,874955;0,907024637;301,198;0,653;314;2,32;305;0,433;361,9;2,124452685;361,9;0;271,1;2,251;256,2;0,905;410;1,60595;410;0,00000199;400;0,0004
291,492;2,352;344,675;0,999;300,483;2,227;348,742;1,027;325,96;1,6408;338,3;1,6005;316,06;1,053;326,32;0,01;191,95;1,023;191,95;1,108;320;1,45;320;1,884;260;1,513136;260;0,000222;225,1;1,524078907;7061;0,00024633;307,026;1,44;121,572773;1,12223231;307,026;2,757;121,572773;0,915711275;301,648;0,64;323;2,32;308;0,414;413,9;2,093455467;413,9;0;277,1;2,292;269,2;0,9922;420;1,60212;420;0,00000176;410;0,0012
303,618;2,433;356,708;0,965;319,821;2,286;366,839;0,996;338,78;1,7189;353,72;1,6618;332,04;1,0983;345,07;0,01;192,55;1,026;192,55;1,111;330;1,689;330;1,99;265;1,511173;265;0,000206;233;1,518041768;7091,9;0,00031776;309,871;1,444;122,274621;1,12020412;309,871;2,767;122,274621;0,924913811;302,195;0,629;330;2,3;311;0,409;465,8;2,073192134;465,8;0;283,8;2,388;278,8;1,121;430;1,59847;430;0,00000159;420;0,004
315,742;2,512;365,737;0,944;331,266;2,317;381,92;0,964;351,58;1,7995;369,85;1,7297;356,36;1,1822;371,31;0,01;193,15;1,029;193,15;1,115;340;1,899;340;1,832;270;1,509329;270;0,000191;241,2;1,512572116;7123,1;0,00040858;312,717;1,444;122,98052;1,118333711;312,717;2,768;122,98052;0,934645892;302,964;0,616;336;2,3;314;0,39;517,8;2,059047227;517,8;0;281,5;2,344;273,1;1,048;440;1,59528;440;0,00000148;430;0,0116
327,87;2,594;392,73;0,765;338,186;2,371;429,644;0,79;364,42;1,8757;386,71;1,8073;385,28;1,1869;400,87;0,01;193,75;1,032;193,75;1,118;350;1,934;350;1,737;275;1,507595;275;0,000179;249,7;1,507609587;7154,6;0,0005238;315,799;1,438;123,690494;1,116660119;315,562;2,764;123,690494;0,944919268;303,732;0,604;343;2,29;318;0,37;569,7;2,048735101;569,7;0;286,8;2,442;285,4;1,209;450;1,59247;450;0,0000014;440;0,023
340,003;2,684;404,77;0,74;347,395;2,4;441,572;0,732;376,32;1,9525;404,34;1,8589;416,73;1,2224;429,87;0,01;194,36;1,035;194,36;1,122;360;1,853;360;1,646;280;1,505961;280;0,000167;258,5;1,503100963;7186,3;0,00066963;318,408;1,435;124,404567;1,115225264;318,408;2,757;124,404567;0,955743457;304,501;0,591;351;2,28;323;0,349;621,6;2,040907103;621,6;0;288,2;2,491;297,9;1,248;460;1,58988;460;0,00000137;450;0,038
352,122;2,756;416,797;0,697;354,775;2,459;449,88;0,688;389,57;2,0329;424,3;1,943;450,84;1,1646;444,42;0,01;194,97;1,038;194,97;1,125;370;1,799;370;1,636;285;1,504421;285;0,000157;267,6;1,498999219;7218,4;0,00085394;321,253;1,435;125,122762;1,11407395;321,49;2,733;125,122762;0,967125376;305,269;0,578;356;2,26;326;0,333;673,6;2,034760644;673,6;0;292,4;2,584;303,5;1,193;470;1,58716;470;0,00000135;460;0,06
364,246;2,834;425,829;0,68;364,764;2,519;481,454;0,509;400,72;2,116;444,43;2,0459;483,61;1,0364;459,63;0,01;195,58;1,041;195,58;1,129;380;1,773;380;1,639;290;1,502966;290;0,000148;277;1,495262719;7250,7;0,0010867;324,099;1,435;125,845104;1,113253851;324,099;2,715;125,845104;0,979068951;306,038;0,565;363;2,25;328;0,326;725,5;2,029817391;725,5;0;291;2,526;309,8;1,101;480;1,58496;480;0,00000133;470;0,091
376,331;2,864;446,778;0,485;372,872;2,57;499,551;0,475;414,99;2,2146;465,65;2,1079;499,88;0,93593;478,9;0,01;196,2;1,044;196,2;1,132;390;1,75;390;1,637;295;1,50159;295;0,000139;286,8;1,491821503;7283,3;0,0013808;326,944;1,435;126,571616;1,112815469;326,944;2,698;126,571616;0,991574714;306,806;0,552;370;2,24;332;0,31;777,5;2,025726482;777,5;0;297,9;2,75;313;1,037;490;1,58304;490;0,00000135;480;0,139
388,409;2,885;458,818;0,459;392,06;2,631;517,648;0,439;434,32;2,308;486,88;2,1335;520,55;0,86161;502,66;0,01;196,83;1,047;196,83;1,136;400;1,713;400;1,62;300;1,500288;300;0,000132;296,9;1,488683281;7316,2;0,0017528;329,79;1,435;127,302322;1,112812071;329,79;2,678;127,302322;1,004639372;307,574;0,538;378;2,23;339;0,287;829,4;2,022277889;829,4;0;297,9;2,723;316;0,988;500;1,58111;500;0,00000132;490;0,208
400,494;2,915;470,841;0,413;409,066;2,686;584,004;0,374;452,41;2,3825;509,07;2,1949;546,03;0,68725;531,55;0,01;197,45;1,05;197,45;1,139;410;1,662;410;1,576;305;1,499055;305;0,000125;307,4;1,485791437;7349,4;0,0022248;332,635;1,439;128,037246;1,113299623;332,398;2,666;128,037246;1,018255362;308,343;0,525;385;2,22;345;0,266;881,3;2,019304773;881,3;0;296,5;2,679;319,3;0,8943;510;1,57927;510;0,00000136;500;0,323
412,589;2,958;479,876;0,4;427,163;2,739;602,101;0,368;473,03;2,4471;530,31;2,1362;600,5;0,63734;564,19;0,02246;198,08;1,054;198,08;1,142;420;1,572;420;1,546;310;1,497885;310;0,000118;318,2;1,483150433;7382,9;0,0028263;335,481;1,439;128,776413;1,114336713;334,295;2,638;128,776413;1,032410365;309,111;0,511;393;2,21;352;0,245;933,3;2,016688521;933,3;0;302,1;2,887;325,5;0,7886;520;1,57769;520;0,00000136;507;0,449
424,677;2,992;531,029;0,268;445,26;2,776;620,198;0,379;494,63;2,4736;557,74;2,1328;645,37;0,67161;603,31;0,0201;198,72;1,057;198,72;1,146;430;1,462;430;1,561;315;1,496774;315;0,000112;329,4;1,480714442;7416,7;0,0035974;338,326;1,439;129,519847;1,115984496;336,666;2,631;129,519847;1,047086792;309,879;0,498;400;2,2;359;0,228;985,2;2,014355373;985,2;0;302,1;2,854;329,2;0,6872;530;1,5763;530;0,00000135;510;0,503
436,755;3,013;543,086;0,264;463,357;2,768;632,262;0,382;517,22;2,4969;584,66;2,0455;695,44;0,82378;649,96;0,1166;199,36;1,06;199,36;1,149;440;1,377;440;1,622;320;1,495719;320;0,000107;341;1,478467652;7450,8;0,0045932;341,172;1,439;130,267574;1,118306683;338,563;2,602;130,267574;1,062261195;310,647;0,484;410;2,19;363;0,221;1037;2,012241232;1037;0;302,1;2,812;331,3;0,6229;540;1,5747;540;0,00000133;520;0,71
448,816;3,013;555,14;0,255;481,454;2,731;698,618;0,453;544,95;2,5162;612,99;1,9348;746,87;0,94048;702,84;0,2759;200;1,063;200;1,152;450;1,334;450;1,686;325;1,494715;325;0,000102;353;1,47639513;7485,2;0,00589;344,017;1,439;131,019616;1,121369619;340,935;2,595;131,019616;1,077903585;311,415;0,469;417;2,18;370;0,204;1089;2,010286676;1089;0;307,7;2,998;334,5;0,5544;550;1,57333;550;0,00000132;530;0,862
460,863;2,996;567,194;0,247;499,551;2,674;716,715;0,478;587,04;2,4997;637,88;1,8039;812,5;0,96579;757,2;1,014;200,65;1,066;200,65;1,156;460;1,313;460;1,711;330;1,493759;330;0;365,5;1,474468282;7520;0,0075944;346,863;1,439;131,776001;1,125242533;342,832;2,567;131,776001;1,093976561;312,184;0,456;426;2,17;378;0,187;1141;2,008463174;1141;0;307,7;2,951;339,6;0,4761;560;1,57194;560;0,00000136;540;0,954
472,911;2,979;579,252;0,243;517,648;2,623;734,812;0,507;623,11;2,4783;672,65;1,6924;868,53;0,91215;815,76;1,258;201,3;1,07;201,3;1,159;470;1,276;470;1,695;335;1,492849;335;0;378,3;1,47270468;7555;0,0098548;349,708;1,439;132,536752;1,1299981;345,44;2,551;132,536752;1,110434118;312,952;0,444;435;2,16;385;0,181;1193;2,00674172;1193;0;313,2;3,102;341;0,4232;570;1,57086;570;0,0000014;550;0,995
484,951;2,953;645,573;0,226;535,745;2,57;789,103;0,64;651,61;2,4647;719,13;1,6975;926,18;1,0685;882,13;1,44;201,95;1,073;201,95;1,162;480;1,19;480;1,676;340;1,491981;340;0;391,7;1,471052512;7590,5;0,012879;352,554;1,439;133,301895;1,135713645;348,048;2,537;133,301895;1,127219813;313,72;0,43;442;2,15;393;0,166;1245;2,005099347;1245;0;313,2;3,069;345,2;0,369;580;1,56993;580;0,00000139;555;1
496,995;2,932;657,637;0,23;553,842;2,513;807,2;0,676;681,43;2,4389;751,95;1,9623;996,12;1,3145;953,89;2,056;202,61;1,076;202,61;1,166;490;1,058;490;1,671;345;1,491152;345;0;405,5;1,46952865;7626,2;0,016958;355,399;1,43;134,071455;1,142473732;349,945;2,51;134,071455;1,144263515;314,488;0,415;450;2,15;398;0,16;1297;2,003517675;1297;0;313,2;3,033;352,7;0,2722;590;1,56904;590;0,00000138;560;0,995
509,038;2,911;669,698;0,23;571,939;2,462;825,297;0,705;711,24;2,4233;783,32;2,1153;1078,8;1,4016;1025,6;2,432;203,28;1,08;203,28;1,169;500;0,904;500;1,715;350;1,490361;350;0;419,7;1,468121822;7662,3;0,022496;358,245;1,43;134,845458;1,150376535;352,554;2,498;134,845458;1,161474314;315,256;0,403;461;2,14;406;0,147;1349;2,001981845;1349;0;318,8;3,156;354,9;0,2385;600;1,56811;600;0,00000129;570;0,952
521,079;2,885;681,759;0,23;590,036;2,411;879,588;0,855;738,38;2,4328;825,33;2,0781;1144,8;1,6363;1104,3;3,168;203,95;1,083;203,95;1,172;510;0,767;510;1,808;355;1,489605;355;0;434,5;1,46680482;7698,7;0,030063;361,09;1,43;135,62393;1,159556385;355,399;2,475;135,62393;1,178716888;316,025;0,39;472;2,13;414;0,14;1401;2,000479738;1401;0;332;3,237;362,8;0,1662;610;1,56696;610;0,00000129;580;0,87
533,126;2,868;693,82;0,23;608,133;2,36;897,685;0,897;784,97;2,483;1414,1;1,4913;1216,2;1,8196;1178,4;3,401;204,62;1,086;204,62;1,175;520;0,682;520;1,95;360;1,488882;360;0;449,8;1,46558083;7735,5;0,040461;363,936;1,43;136,406895;1,170116495;358,245;2,455;136,406895;1,195592451;316,793;0,377;481;2,12;426;0,127;1453;1,999001385;1453;0;336,9;3,232;374,4;0,08673;620;1,56627;620;0,00000125;590;0,757
545,166;2,843;766,213;0,264;626,23;2,309;912,766;0,921;820,81;2,5106;1475,6;1,5204;1302,8;2,05;1229,3;3,431;205,3;1,09;205,3;1,178;530;0,599;530;2,065;365;1,488189;365;0;465,7;1,464436031;7772,6;0,054834;366,781;1,43;137,194381;1,181674389;361,09;2,436;137,194381;1,211889595;317,562;0,365;493;2,11;432;0,12;1505;1,997538521;1505;0;343,8;3,193;386,9;0,0508;630;1,56527;630;0,00000123;600;0,631
557,213;2,826;778,274;0,264;644,327;2,258;964,041;1,078;858,26;2,5487;1540,2;1,613;1254,3;1,9122;1270,4;3,227;205,98;1,093;205,98;1,181;540;0,53;540;2,182;370;1,487527;370;0;482,1;1,463371935;7810;0,07483;369,627;1,43;137,986413;1,194107411;363,936;2,417;137,986413;1,227671224;318,33;0,351;503;2,11;447;0,108;1557;1,996084244;1557;0;349,4;3,157;402,2;0,01165;640;1,56478;640;0,00000117;610;0,503
569,261;2,809;790,345;0,277;662,424;2,207;982,138;1,121;897,43;2,5858;1612,4;1,6333;1378,1;2,268;1369;3,152;206,67;1,097;206,67;1,184;550;0,466;550;2,298;375;1,486891;375;0;499,1;1,462376439;7847,9;0,10281;372,472;1,43;138,783017;1,207366224;366,781;2,398;138,783017;1,242935287;319,099;0,338;517;2,1;456;0,101;1609;1,994632753;1609;0;354,9;3,115;418,9;0,005626;650;1,56368;650;0,00000109;620;0,381
581,311;2,796;802,409;0,281;680,521;2,156;997,219;1,155;938,4;2,6155;1690,1;1,6996;1467,6;2,4277;1447,8;2,567;207,36;1,1;207,36;1,187;560;0,412;560;2,421;380;1,486282;380;0;516,7;1,461444991;7886,1;0,14196;375,318;1,43;139,58422;1,22141515;369,627;2,382;139,58422;1,257658519;319,867;0,326;533;2,09;476;0,0885;1660;1,99320714;1660;0;360,5;3,071;438,3;0,001611;660;1,56317;660;0,00000101;630;0,265
593,358;2,779;811,455;0,281;698,618;2,106;1048,494;1,313;988,54;2,6621;1747,2;1,7535;1574,9;2,6652;1561,9;2,361;208,05;1,104;208,05;1,19;570;0,362;570;2,548;385;1,485698;385;0;534,9;1,460573079;7924,7;0,19549;378,163;1,434;140,390048;1,236221757;372,235;2,371;140,390048;1,271806367;320,636;0,313;543;2,08;486;0,0832;1712;1,991747381;1712;0;364,7;3,038;455;0,001611;670;1,56225;670;0,000000951;640;0,175
605,409;2,766;874,809;0,323;716,715;2,066;1066,591;1,358;1033,7;2,6949;1797;1,8233;1652,9;2,8129;1652,3;2,181;208,75;1,107;208,75;1,193;580;0,329;580;2,684;390;1,485137;390;0;553,7;1,459756285;7963,6;0,26352;381,009;1,434;141,200529;1,251752262;375,318;2,365;141,200529;1,285337463;321,405;0,303;559;2,07;513;0,0712;1764;1,990277807;1764;0;370,2;2,994;474,5;0,001611;680;1,56199;680;0,000000911;650;0,107
617,46;2,754;886,876;0,332;734,812;2,021;1081,672;1,384;1080,8;2,7349;1861,5;1,8357;1726,9;2,9397;1808,3;2,184;209,46;1,111;209,46;1,196;590;0,304;590;2,828;395;1,484598;395;0;573,2;1,458986561;8003;0,33993;383,854;1,434;142,015689;1,267968941;378,163;2,351;142,015689;1,298206521;322,112;0,296;576;2,06;530;0,0657;1816;1,988795329;1816;0;375,8;2,951;491,2;0,001611;690;1,56131;690;0,000000872;660;0,061
629,514;2,745;898,937;0,332;752,909;1,984;1126,915;1,54;1130,2;2,7659;1954,7;1,9828;1803,4;3,0556;1967,2;2,277;210,17;1,114;210,17;1,199;600;0,313;600;2,945;400;1,48408;400;0;593,4;1,458260788;8042,7;0,41614;386,7;1,434;142,835554;1,284828569;381,009;2,339;142,835554;1,3103667;323,009;0,283;590;2,06;565;0,055;1868;1,987297276;1868;0;380;2,912;512;-0,0003963;700;1,56052;700;0,000000864;670;0,032
641,561;2,728;910,998;0,332;771,006;1,944;1145,012;1,579;1181,7;2,8019;2042,7;2,0882;1918,6;3,2713;2056,8;2,328;210,88;1,118;210,88;1,202;610;0,313;610;3,067;405;1,483582;405;0;614,3;1,457575807;8082,9;0,48707;389,545;1,434;143,660153;1,302281572;383,854;2,328;143,660153;1,321771775;323,715;0,276;607;2,05;587;0,0501;1920;1,985781324;1920;0;385,5;2,874;527,3;0,001611;710;1,56013;710;0,00000086;680;0,017
653,615;2,72;923,069;0,345;789,103;1,91;1160,092;1,613;1235,7;2,8316;2005,1;2,0105;2042,7;3,5268;2259,3;2,584;211,6;1,122;211,6;1,205;620;0,312;620;3,185;410;1,483102;410;0;636;1,456925601;8123,4;0,55116;392,391;1,434;144,489512;1,320271805;386,7;2,318;144,489512;1,332378183;324,572;0,265;628;2,04;641;0,0406;1972;1,984245445;1972;0;391,1;2,841;548,1;0,0006075;720;1,55933;720;0,000000852;690;0,0082
665,669;2,711;995,452;0,366;807,2;1,885;1217,635;1,773;1292,1;2,8517;2127,9;2,2413;2200,3;3,6853;2409,6;2,629;212,33;1,125;212,33;1,208;630;0,324;630;3,333;415;1,482641;415;0;658,4;1,456310408;8164,3;0,60845;395,236;1,434;145,323659;1,338736902;389,545;2,306;145,323659;1,34214694;325,255;0,259;650;2,04;669;0,0371;2024;1,982687854;2024;0;396,6;2,805;563,4;0,0008082;730;1,55868;730;0,000000832;700;0,0041
677,723;2,703;1007,512;0,366;825,297;1,859;1234,983;1,815;1351,1;2,8687;2177,1;2,2807;2343,7;3,8816;2599,7;2,678;213,06;1,129;213,06;1,211;640;0,394;640;3,418;420;1,482197;420;0;681,6;1,455724699;8205,7;0,65957;398,082;1,434;146,162622;1,357609159;392,391;2,299;146,162622;1,351045284;326,024;0,246;671;2,03;744;0,029;2076;1,981106982;2076;0;405;2,759;584,3;0,001611;740;1,55854;740;0,000000828;710;0,0021
689,777;2,694;1019,573;0,366;843,394;1,834;1241,529;1,834;1412,9;2,8752;2250,4;2,3647;2507,7;4,0725;2809,3;2,787;213,79;1,133;213,79;1,213;650;0,406;650;3,461;425;1,481768;425;0;705,6;1,45516603;8247,5;0,70534;401,165;1,428;147,006428;1,376816859;395,236;2,29;147,006428;1,35904795;326,794;0,238;695;2,02;781;0,0266;2128;1,979501434;2128;0;413,3;2,72;599,6;0,0008082;750;1,55817;750;0,000000784;720;0,00105
701,834;2,69;1031,634;0,366;861,491;1,811;1301,852;1,964;1461,2;2,881;2293,4;2,3875;2679,4;4,2909;3060,9;2,816;214,53;1,136;214,53;1,216;660;0,386;660;3,514;430;1,481356;430;0;730,5;1,454629875;8289,7;0,74674;403,773;1,425;147,855105;1,396285902;398,082;2,282;147,855105;1,366137953;327,564;0,227;725;2,01;869;0,0215;2180;1,977869974;2180;0;421,7;2,689;620,4;0,001611;760;1,55795;760;0,000000743;730;0,0005
713,885;2,677;1040,68;0,366;879,588;1,789;1319,95;1,995;1522,1;2,8796;2379,6;2,4805;2873,5;4,4589;3285;2,835;215,28;1,14;215,28;1,219;670;0,349;670;3,588;435;1,480958;435;0;756,2;1,454116165;8332,3;0,78491;406,619;1,425;148,708682;1,415941559;400,927;2,273;148,708682;1,3723068;328,334;0,219;762;2,01;912;0,0201;2232;1,976211493;2232;0;431,4;2,655;635,7;0,0008082;770;1,55723;770;0,000000756;740;0,00025
725,946;2,677;1110,016;0,349;897,685;1,772;1338,047;2,032;1591,7;2,8786;2466,2;2,58;3073,5;4,633;3550,4;2,974;216,03;1,144;216,03;1,221;680;0,334;680;3,747;440;1,480573;440;0;782,9;1,453618854;8375,4;0,82122;409,464;1,425;149,567186;1,435710144;403,773;2,267;149,567186;1,377554162;329,103;0,208;800;2;1020;0,0166;2284;1,974524997;2284;0;444,6;2,617;656,6;-0,0003963;780;1,55583;780;0,000000745;750;0,0001
738;2,669;1122,077;0,349;915,782;1,752;1398,37;2,162;1664,5;2,8734;2571,8;2,7001;3262,1;4,8991;4072,4;3,06;216,78;1,148;216,78;1,224;690;0,426;690;3,806;445;1,480203;445;0;810,4;1,45313961;8419;0,85729;412,31;1,425;150,430647;1,455520405;406,619;2,26;150,430647;1,381887052;329,874;0,201;840;1,99;1070;0,0155;2336;1,972809592;2336;0;459,2;2,587;670,5;0,001611;790;1,5563;790;0,000000764;760;0,00006
750,054;2,66;1134,138;0,349;933,88;1,735;1416,467;2,19;1740,6;2,8704;2689,1;2,8166;3488,5;5,0539;4284,7;3,166;217,54;1,152;217,54;1,226;700;0,425;700;3,852;450;1,479844;450;0;839;1,452671274;8462,9;0,89502;415,155;1,425;151,299093;1,47530451;409,464;2,253;151,299093;1,385318696;330,643;0,189;886;1,98;1190;0,0128;2388;1,971064467;2388;0;475,9;2,556;696,9;0,0006075;800;1,55533;800;0,000000756;770;0
762,115;2,66;1146,199;0,349;951,977;1,723;1434,564;2,216;1820,2;2,862;2811,7;2,9494;3728,9;5,289;4477,4;3,589;218,31;1,155;218,31;1,229;710;0,419;710;4,007;455;1,479498;455;0;868,6;1,452213821;8507,4;0,9366;418,001;1,425;152,172552;1,494998531;412,31;2,246;152,172552;1,387867264;331,414;0,183;939;1,98;1260;0,0118;2440;1,969288885;2440;0;491,2;2,533;710,8;0,001611;810;1,55526;810;0,000000749;780;0
774,176;2,66;1155,245;0,349;970,074;1,706;1494,887;2,34;1903,4;2,8558;2945,3;3,1033;4003;5,4528;4679,6;;219,08;1,159;219,08;1,231;720;0,407;720;4,062;460;1,479164;460;0;899,2;1,451765383;8552,3;0,98454;420,846;1,425;153,051054;1,514542465;415,155;2,24;153,051054;1,38955467;332,184;0,175;995;1,97;1400;0,0102;2491;1,967517215;2491;0;509,2;2,511;730,2;0,001611;820;1,55541;820;0,000000866;;
786,236;2,66;1224,567;0,315;988,171;1,698;1512,985;2,366;1990,4;2,8463;3068;3,2196;4293,3;5,6501;4893,5;;219,86;1,163;219,86;1,234;730;0,387;730;4,12;465;1,478841;465;0;930,8;1,451324079;8597,7;1,0416;423,692;1,425;153,934627;1,533879875;418,001;2,235;153,934627;1,390405613;332,954;0,166;1050;1,96;1470;0,00964;2543;1,965679374;2543;0;529;2,49;742,7;0,001611;830;1,55505;830;0,00000117;;
798,294;2,656;1236,628;0,315;1006,268;1,69;1531,082;2,391;2081,5;2,8274;3190,2;3,3652;4611,6;5,7719;5117,1;;220,64;1,167;220,64;1,236;740;0,372;740;4,18;470;1,478528;470;0;963,6;1,450885397;8643,6;1,1106;426,537;1,425;154,823301;1,552957289;420,846;2,23;154,823301;1,390446954;333,724;0,158;1120;1,96;1650;0,00835;2595;1,963809231;2595;0;544,5;2,476;760,8;0,001611;840;1,55462;840;0,000000677;;
810,351;2,652;1248,689;0,315;1024,365;1,69;1597,437;2,507;2176,7;2,8138;3311;3,4846;4766,2;5,8527;5404,4;;221,43;1,171;221,43;1,238;750;0,364;750;4,228;475;1,478225;475;0;997,6;1,450447736;8690;1,1948;429,383;1,425;155,717106;1,571723534;423,692;2,225;155,717106;1,389707483;334,496;0,153;1180;1,95;1720;0,00805;2647;1,96190626;2647;0;561,2;2,464;777,5;0,001611;850;1,55439;850;0,000000758;;
822,416;2,656;1260,74;0,302;1042,462;1,69;1615,534;2,53;2293,2;2,8002;3437,1;3,6172;4948,1;5,9263;5637,5;;222,22;1,175;222,22;1,241;760;0,359;760;4,301;480;1,477932;480;0;1033;1,450006962;8736,8;1,2973;432,228;1,425;156,616071;1,590129161;426,537;2,219;156,616071;1,388218022;335,266;0,145;1260;1,95;1940;0,00765;2699;1,959969976;2699;0;578,7;2,451;798,3;-0,0003963;860;1,55405;860;0,000000704;;
834,477;2,656;1269,782;0,298;1060,559;1,69;1633,631;2,556;2402;2,7746;3567,8;3,7576;5185,9;5,9946;5904,6;;223,02;1,179;223,02;1,243;770;0,36;770;4,37;485;1,477649;485;0;1069;1,44957109;8784,2;1,4221;435,074;1,425;157,520225;1,608126059;429,383;2,214;157,520225;1,3860118;336,037;0,138;1330;1,95;2040;0,00766;2751;1,957999924;2751;0;594;2,441;813,6;0,001611;870;1,55374;870;0,000000626;;
846,541;2,66;1339,118;0,281;1078,656;1,69;1699,987;2,66;2503,4;2,7746;3728,9;3,9348;5358,1;6,0673;6341,2;;223,83;1,183;223,83;1,245;780;0,354;780;4,449;490;1,477374;490;0;1107;1,449121462;8832,1;1,5739;437,682;1,426;158,429599;1,625667359;432,228;2,21;158,429599;1,383124974;336,808;0,133;1410;1,94;2270;0,00705;2803;1,955995679;2803;0;610,7;2,433;834,5;-0,0003963;880;1,5533;880;0,00000757;;
858,602;2,66;1351,169;0,268;1096,753;1,69;1718,084;2,683;2622,4;2,7762;3900,2;4,1328;5734,7;6,1562;6645;;224,64;1,187;224,64;1,247;790;0,357;790;4,527;495;1,477107;495;0;1146;1,448668311;8880,5;1,7568;440,765;1,429;159,344223;1,642707611;435,074;2,205;159,344223;1,379597185;337,579;0,126;1490;1,94;2380;0,0069;2855;1,953956843;2855;0;630,2;2,422;849,8;0,001611;890;1,55313;890;0,00000781;;
870,663;2,66;1363,226;0,264;1114,85;1,69;1736,181;2,703;2742,3;2,7678;4078,8;4,3326;6003,8;6,1965;7060,7;;225,45;1,191;225,45;1,249;800;0,36;800;4,602;500;1,476849;500;0;1186;1,448209659;8929,5;1,9693;443,61;1,429;160,264128;1,659203251;437,919;2,2;160,264128;1,375472024;338,35;0,119;1580;1,93;2670;0,00707;2907;1,951883039;2907;0;648,2;2,414;870,6;0,0006075;900;1,55288;900;0,00000773;;
882,723;2,66;1375,287;0,264;1132,947;1,706;1802,537;2,805;2867,7;2,7595;4269,7;4,5541;6272,8;6,198;7426,5;;226,28;1,195;226,28;1,251;810;0,361;810;4,679;505;1,476599;505;0;1228;1,447732246;8979;2,1947;446,456;1,429;161,189343;1,675113262;440,765;2,197;161,189343;1,370797345;339,121;0,114;1680;1,93;2810;0,00708;2959;1,949773912;2959;0;664,9;2,408;885,9;0,0008082;910;1,55265;910;0,00000775;;
894,791;2,669;1384,333;0,264;1151,044;1,712;1820,634;2,827;2996,7;2,7378;4410,2;4,7282;6558,8;6,229;7786,6;;227,11;1,199;227,11;1,253;820;0,354;820;4,764;510;1,476356;510;0;1271;1,447245577;9029;2,3972;449,301;1,429;162,119899;1,690399977;443,61;2,192;162,119899;1,36562535;339,892;0,109;1780;1,93;3120;0,00616;3011;1,947629122;3011;0;681,6;2,404;906,8;0,001611;920;1,55233;920;0,00000745;;
906,859;2,677;1453,666;0,243;1169,141;1,723;1838,731;2,847;3183;2,747;4594;4,92;6731,6;6,2191;8120,9;;227,94;1,203;227,94;1,255;830;0,371;830;4,821;515;1,476121;515;0;1316;1,446736352;9079,7;2,531;452,147;1,429;163,055827;1,705029935;446,456;2,189;163,055827;1,360012438;340,664;0,104;1890;1,93;3280;0,00617;3063;1,945448348;3063;0;706,6;2,394;922,1;0,0008082;930;1,55218;930;0,00000775;;
918,92;2,677;1465,716;0,23;1187,238;1,735;1905,087;2,938;3328,6;2,7365;4732;5,0434;7143,9;6,2187;8478,6;;228,78;1,207;228,78;1,257;840;0,367;840;4,903;520;1,475892;520;0;1362;1,446213852;9130,8;2,5619;454,992;1,429;163,997159;1,718974715;449,301;2,185;163,997159;1,354018803;341,436;0,099;2000;1,92;3680;0,00608;3115;1,943231278;3115;0;719,1;2,394;942,9;0,0006075;940;1,55185;940;0,00000779;;
930,991;2,69;1477,777;0,23;1205,335;1,743;1923,184;2,955;3480,8;2,7293;4848,4;5,2002;7752,3;6,2182;8847,3;;229,63;1,212;229,63;1,259;850;0,371;850;4,972;525;1,47567;525;0;1410;1,445664578;9182,6;2,4883;457,838;1,429;164,943925;1,73221167;452,147;2,18;164,943925;1,347707834;342,207;0,094;2120;1,92;3860;0,00619;3167;1,940977616;3167;0;740;2,383;959,6;0,000942;950;1,55163;950;0,00000785;;
