VO2_ins_wl_n;VO2_ins_n;VO2_ins_wl_k;VO2_ins_k;VO2_met_wl_n;VO2_met_n;VO2_met_wl_k;VO2_met_k;vo2IR_ins_wl_n;vo2IR_ins_n;vo2IR_met_wl_n;vo2IR_met_n;vo2IR_met_wl_k;vo2IR_met_k;vo2IR_ins_wl_k;vo2IR_ins_k;Ag_wl_n;Ag_n;Ag_wl_k;Ag_k;Au9nm_wl_n;Au9nm_n;Au9nm_wl_k;Au9nm_k;SiO2_thin_wl_n;SiO2_thin_n;SiO2_thin_wl_k;SiO2_thin_k;SiO2_fused_wl_n;SiO2_fused_n;SiO2_fused_wl_k;SiO2_fused_k;SiO2_wl_n;SiO2_n;TiO2_alpha_wl_n;TiO2_alpha_n;TiO2_A_wl_n;TiO2_A_n;TiO2_alpha_wl_k;TiO2_alpha_k;TiO2_A_wl_k;TiO2_A_k;Cr2O3_wl_n;Cr2O3_n;Cr2O3_wl_k;Cr2O3_k;Si3N4_wl_n;Si3N4_n;Si3N4_wl_k;Si3N4_k;CeO2_wl_n;CeO2_n;CeO2_wl_k;CeO2_k;PET_wl_n;PET_n;PET_wl_k;PET_k;Eye_wl;Eye_sensitivity
;;;;;;;;;;;;;;;;;;;;;;;;10941;1,8;10941;0,049;;;;;;;36714,39057;5,360498307;;;36714,39057;2,976081035;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;10965;1,789;10965;0,05;;;;;;;36926,34506;5,385449684;;;36926,34506;2,945902376;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;10989;1,779;10989;0,05;;;;;;;37139,52318;5,409265993;;;37139,52318;2,915406887;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11013;1,769;11013;0,051;;;;;;;37353,93198;5,431948716;;;37353,93198;2,884656108;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11038;1,759;11038;0,051;;;;;;;37569,57859;5,453503118;;;37569,57859;2,853710164;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11062;1,749;11062;0,052;;;;;;;37786,47013;5,47393806;;;37786,47013;2,822627545;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11086;1,739;11086;0,053;;;;;;;38004,6138;5,49326578;;;38004,6138;2,791464906;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11111;1,73;11111;0,054;;;;;;;38224,01683;5,51150168;;;38224,01683;2,760276883;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11136;1,72;11136;0,055;;;;;;;38444,68649;5,5286641;;;38444,68649;2,729115941;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11161;1,711;11161;0,056;;;;;;;38666,63009;5,544774096;;;38666,63009;2,698032233;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;11186;1,701;11186;0,057;;;;;;;38889,85498;5,559855204;;;38889,85498;2,667073485;;;;;;;;;;;;;;;;;;;;
